rank,prev_rank_text,movie_title,weekly_gross,weekly_change_pct,theaters,per_theater,total_gross,days_in_release,week_start,source_url,week_number,is_new_release,wide_release_flag
1,(new),Mickey 17,25777032.0,,3807,6771.0,25777032.0,7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,1,1
2,(1),Captain America: Brave New World,11833489.0,-0.39,3480,3400.0,179917912.0,28,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
3,(2),Last Breath,5805935.0,-0.44,3090,1879.0,16262820.0,14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
4,(3),The Monkey,5643719.0,-0.36,2955,1910.0,32747016.0,21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
5,(4),Paddington in Peru,5433724.0,-0.13,3085,1761.0,38542866.0,28,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
6,(5),Dog Man,5054220.0,-0.06,2753,1836.0,90317665.0,42,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
7,(15),Anora,2681104.0,1.96,1938,1383.0,19269505.0,147,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
8,(6),Mufasa: The Lion King,2457736.0,-0.09,1460,1683.0,251245475.0,84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
9,(new),Rule Breakers,2209215.0,,2044,1081.0,2209215.0,7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,1,1
10,(new),In the Lost Lands,1522145.0,,1370,1111.0,1522145.0,7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,1,1
11,(26),Night of the Zoopocalypse,1303001.0,,1400,931.0,1552690.0,14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
12,(10),One of Them Days,1084552.0,-0.15,1411,769.0,48904407.0,56,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
13,(7),The Unbreakable Boy,903836.0,-0.5,1198,754.0,6036649.0,21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
14,(8),Heart Eyes,740996.0,-0.58,1208,613.0,30084114.0,35,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,1
15,(new),Queen of the Ring,555000.0,,825,673.0,555000.0,7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,1,0
16,(12),A Complete Unknown,546444.0,-0.55,440,1242.0,74623924.0,79,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
17,(11),Becoming Led Zeppelin,488329.0,-0.61,417,1171.0,9643611.0,35,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
18,(9),Riff Raff,484939.0,-0.63,834,581.0,1805912.0,14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
19,(18),Moana 2,472648.0,-0.25,400,1182.0,460072062.0,107,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
20,(16),I’m Still Here,466198.0,-0.46,442,1055.0,5924171.0,56,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
21,(24),No Other Land,413556.0,0.4,125,3308.0,1220512.0,42,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
22,(new),The Rule of Jenny Pen,390368.0,,878,445.0,390368.0,7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,1,0
23,(17),The Brutalist,235993.0,-0.71,214,1103.0,16202148.0,84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
24,(14),My Dead Friend Zoe,230967.0,-0.77,590,391.0,1237818.0,14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07,1,0,0
