Rank,Prev,Title,Daily Gross,Weekly Change,Theaters,Theater Average,Total Gross,Days in Release,week_start,source_url
1,(new),Mickey 17,"$25,777,032",,"3,807","$6,771","$25,777,032",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
2,(1),Captain America: Brave New World,"$11,833,489",-39%,"3,480","$3,400","$179,917,912",28,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
3,(2),Last Breath,"$5,805,935",-44%,"3,090","$1,879","$16,262,820",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
4,(3),The Monkey,"$5,643,719",-36%,"2,955","$1,910","$32,747,016",21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
5,(4),Paddington in Peru,"$5,433,724",-13%,"3,085","$1,761","$38,542,866",28,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
6,(5),Dog Man,"$5,054,220",-6%,"2,753","$1,836","$90,317,665",42,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
7,(15),Anora,"$2,681,104",+196%,"1,938","$1,383","$19,269,505",147,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
8,(6),Mufasa: The Lion King,"$2,457,736",-9%,"1,460","$1,683","$251,245,475",84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
9,(new),Rule Breakers,"$2,209,215",,"2,044","$1,081","$2,209,215",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
10,(new),In the Lost Lands,"$1,522,145",,"1,370","$1,111","$1,522,145",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
11,(26),Night of the Zoopocalypse,"$1,303,001",,"1,400",$931,"$1,552,690",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
12,(10),One of Them Days,"$1,084,552",-15%,"1,411",$769,"$48,904,407",56,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
13,(7),The Unbreakable Boy,"$903,836",-50%,"1,198",$754,"$6,036,649",21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
14,(8),Heart Eyes,"$740,996",-58%,"1,208",$613,"$30,084,114",35,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
15,(new),Queen of the Ring,"$555,000",,825,$673,"$555,000",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
16,(12),A Complete Unknown,"$546,444",-55%,440,"$1,242","$74,623,924",79,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
17,(11),Becoming Led Zeppelin,"$488,329",-61%,417,"$1,171","$9,643,611",35,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
18,(9),Riff Raff,"$484,939",-63%,834,$581,"$1,805,912",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
19,(18),Moana 2,"$472,648",-25%,400,"$1,182","$460,072,062",107,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
20,(16),I’m Still Here,"$466,198",-46%,442,"$1,055","$5,924,171",56,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
21,(24),No Other Land,"$413,556",+40%,125,"$3,308","$1,220,512",42,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
22,(new),The Rule of Jenny Pen,"$390,368",,878,$445,"$390,368",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
23,(17),The Brutalist,"$235,993",-71%,214,"$1,103","$16,202,148",84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
24,(14),My Dead Friend Zoe,"$230,967",-77%,590,$391,"$1,237,818",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
25,(23),Sonic the Hedgehog 3,"$223,284",-29%,326,$685,"$235,929,145",84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
26,(21),Flight Risk,"$177,401",-59%,247,$718,"$29,783,527",49,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
27,(37),Flow,"$175,397",+93%,139,"$1,262","$4,561,303",112,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
28,(13),Mobile Suit Gundam GQuuuuuuX -Beginning-,"$137,567",-87%,342,$402,"$1,217,465",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
29,(20),Love Hurts,"$110,070",-81%,264,$417,"$15,683,090",35,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
30,(new),Seven Veils,"$105,873",,190,$557,"$105,873",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
31,(25),Wicked,"$104,895",-59%,112,$937,"$473,231,120",112,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
32,(22),Companion,"$102,636",-73%,132,$778,"$20,809,101",42,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
33,(56),There’s Still Tomorrow,"$98,934","+1,371%",111,$891,"$105,661",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
34,(27),A Sloth Story,"$80,774",-67%,155,$521,"$325,449",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
35,(19),2025 Oscar Shorts,"$68,152",-89%,63,"$1,082","$3,259,552",28,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
36,(40),Universal Language,"$36,275",-4%,44,$824,"$191,402",175,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
37,(31),Legends of the Condor Heroes: The Gallants,"$35,983",-77%,18,"$1,999","$660,403",21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
38,(new),Eephus,"$30,010",,2,"$15,005","$30,010",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
39,(35),Nickel Boys,"$27,523",-80%,40,$688,"$2,858,346",91,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
40,(48),Liza: A Truly Terrific Absolutely True Story,"$24,651",+53%,30,$822,"$190,254",49,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
41,(39),The Accidental Getaway Driver,"$23,517",-41%,72,$327,"$63,367",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
42,(43),The Room Next Door,"$22,684",-16%,14,"$1,620","$2,481,458",84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
43,(30),Cleaner,"$21,800",-88%,37,$589,"$792,172",21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
44,(41),Babygirl,"$21,604",-28%,25,$864,"$28,175,128",79,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
45,(34),Brothers After War,"$20,797",-86%,26,$800,"$165,003",14,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
46,(new),On Becoming a Guinea Fowl,"$20,682",,4,"$5,171","$20,682",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
47,(60),Attack on Titan the Movie: THE LAST ATTACK,"$19,946",+280%,8,"$2,493","$2,881,511",32,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
48,(32),Ex-Husbands,"$19,761",-87%,32,$618,"$183,953",21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
49,(42),The Last Showgirl,"$16,548",-45%,13,"$1,273","$4,783,707",91,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
50,(57),Bad Shabbos,"$16,212",+187%,6,"$2,702","$186,024",105,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
51,(47),Love & Pop,"$16,054",-1%,4,"$4,014","$52,988",21,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
52,(36),The Substance,"$13,957",-90%,39,$358,"$17,582,845",175,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
53,(55),Every Little Thing,"$11,941",+49%,12,$995,"$108,780",63,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
54,(new),The Visitor,"$11,582",,4,"$2,896","$11,582",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
55,(53),A Woman is a Woman,"$10,053",+9%,2,"$5,027","$173,150","7,973",2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
56,(51),Soundtrack to a Coup d’Etat,"$7,654",-24%,7,"$1,093","$346,246",133,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
57,(38),Parthenope,"$6,802",-87%,8,$850,"$302,801",35,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
58,(49),Vermiglio,"$6,722",-45%,6,"$1,120","$209,955",79,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
59,(50),Brave the Dark,"$6,218",-43%,12,$518,"$4,522,545",49,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
60,(62),Hundreds of Beavers,"$5,824",+56%,5,"$1,165","$662,721",413,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
61,(-),The Sacrifice,"$5,599",,1,"$5,599","$191,304","3,780",2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
62,(54),All We Imagine as Light,"$5,037",-41%,5,"$1,007","$1,085,961",119,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
63,(new),The Empire,"$4,092",,1,"$4,092","$9,173",7,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
64,(52),The Annihilation of Fish,"$2,423",-75%,5,$485,"$41,707","8,533",2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
65,(65),Homestead,"$1,661",-36%,4,$415,"$20,811,245",84,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
66,(71),Swept Away,"$1,336",+87%,3,$445,"$625,545","8,190",2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
67,(66),2121,"$1,193",-49%,1,"$1,193","$17,852",42,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
68,(68),Blades in the Darkness,$946,-21%,1,$946,"$10,072",49,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
69,(69),Hounds,$723,-29%,1,$723,"$36,002",98,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
70,(-),The Boondock Saints,$264,,2,$132,"$31,241","9,184",2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
71,(75),"Oh, Canada",$33,-63%,1,$33,"$194,246",98,2025-03-07,https://www.the-numbers.com/box-office-chart/weekly/2025/03/07
1,(new),Novocaine,"$12,009,062",,"3,365","$3,569","$12,009,062",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
2,(1),Mickey 17,"$10,544,522",-59%,"3,807","$2,770","$36,321,554",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
3,(new),Black Bag,"$10,480,265",,"2,705","$3,874","$10,480,265",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
4,(2),Captain America: Brave New World,"$8,099,479",-32%,"3,250","$2,492","$188,017,391",35,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
5,(-),The Day the Earth Blew Up: A Looney Tunes Movie,"$4,622,127",,"2,827","$1,635","$4,622,127",98,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
6,(new),The Last Supper,"$3,990,434",,"1,575","$2,534","$3,990,434",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
7,(5),Paddington in Peru,"$3,825,115",-30%,"2,489","$1,537","$42,367,981",35,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
8,(6),Dog Man,"$3,812,880",-25%,"2,407","$1,584","$94,130,545",49,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
9,(4),The Monkey,"$3,566,719",-37%,"2,294","$1,555","$36,313,735",28,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
10,(3),Last Breath,"$3,253,350",-44%,"2,661","$1,223","$19,516,170",21,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
11,(8),Mufasa: The Lion King,"$1,855,368",-25%,"1,175","$1,579","$253,100,843",91,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
12,(new),Opus,"$1,521,347",,"1,764",$862,"$1,521,347",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
13,(7),Anora,"$952,700",-64%,"1,062",$897,"$20,222,205",154,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
14,(9),Rule Breakers,"$679,600",-69%,"1,420",$479,"$2,888,815",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
15,(new),October 8,"$601,116",,127,"$4,733","$601,116",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
16,(12),One of Them Days,"$521,400",-52%,625,$834,"$49,425,807",63,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
17,(11),Night of the Zoopocalypse,"$478,836",-63%,550,$871,"$2,031,526",21,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
18,(21),No Other Land,"$345,720",-16%,140,"$2,469","$1,566,232",49,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
19,(10),In the Lost Lands,"$337,666",-78%,865,$390,"$1,859,811",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
20,(13),The Unbreakable Boy,"$327,631",-64%,458,$715,"$6,364,280",28,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
21,(17),Becoming Led Zeppelin,"$280,691",-43%,254,"$1,105","$9,924,302",42,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
22,(14),Heart Eyes,"$262,915",-65%,523,$503,"$30,347,029",42,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
23,(19),Moana 2,"$236,194",-50%,285,$829,"$460,308,256",114,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
24,(16),A Complete Unknown,"$215,865",-60%,220,$981,"$74,839,789",86,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
25,(20),I’m Still Here,"$181,521",-61%,163,"$1,114","$6,105,692",63,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
26,(38),Eephus,"$124,217",+314%,30,"$4,141","$154,227",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
27,(25),Sonic the Hedgehog 3,"$113,008",-49%,142,$796,"$236,042,153",91,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
28,(27),Flow,"$99,005",-44%,91,"$1,088","$4,660,308",119,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
29,(18),Riff Raff,"$51,156",-89%,133,$385,"$1,857,068",21,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
30,(22),The Rule of Jenny Pen,"$43,449",-89%,204,$213,"$433,817",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
31,(33),There’s Still Tomorrow,"$40,775",-59%,42,$971,"$146,436",21,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
32,(46),On Becoming a Guinea Fowl,"$37,970",+84%,17,"$2,234","$58,652",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
33,(new),The Actor,"$33,440",,23,"$1,454","$33,440",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
34,(42),The Room Next Door,"$23,865",+5%,11,"$2,170","$2,505,323",91,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
35,(36),Universal Language,"$18,717",-48%,26,$720,"$210,119",182,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
36,(40),Liza: A Truly Terrific Absolutely True Story,"$16,012",-35%,23,$696,"$206,658",56,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
37,(-),El,"$14,093",,1,"$14,093","$14,093","25,311",2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
38,(24),My Dead Friend Zoe,"$12,885",-94%,40,$322,"$1,250,703",21,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
39,(new),Borderline,"$12,735",,25,$509,"$12,735",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
40,(51),Love & Pop,"$11,613",-28%,2,"$5,807","$64,601",28,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
41,(37),Legends of the Condor Heroes: The Gallants,"$10,940",-70%,4,"$2,735","$671,343",28,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
42,(30),Seven Veils,"$10,861",-90%,22,$494,"$116,734",14,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
43,(50),Bad Shabbos,"$9,789",-40%,5,"$1,958","$195,813",112,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
44,(new),Can I Get a Witness,"$9,762",,5,"$1,952","$9,762",7,2025-03-14,https://www.the-numbers.com/box-office-chart/weekly/2025/03/14
